region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
BC,bc,other,strongly agree,probably yes,yes,does not apply to me ,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,,no,no particular variety,often,yes,yes,,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,54,sweden,female,postgraduate degree,i am not currently studying,6,yes ,12,30 minutes to 1 hour
AB,ab,British Columbia,strongly agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,zee,neither unimportant nor important,probably yes,definitely not,definitely not,yes ,british english,never,no,yes,definitely not,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,female,high school,fourth year+,0,yes ,5,24 hours
other,taiwan,British Columbia,strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,other ,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,strongly agree,neither disagree nor agree,definitely yes,34,canada,male,other ,i am not currently studying,7,yes ,5,30 minutes to 1 hour
BC,bc,British Columbia,agree,probably not,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,definitely yes,,,british english,often,yes,definitely yes,probably yes,definitely yes,disagree,disagree,agree,strongly disagree,probably yes,44,canada,male,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,no,no,,zed,very important,probably yes,definitely yes,,yes ,british english,rarely,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,19,canada,male,high school,first year,3,yes ,0,68 hours
other,south africa,Ontario,strongly agree,probably not,yes,neither comfortable nor uncomfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,strongly agree,definitely yes,34,canada,female,postgraduate degree,i am in a graduate program,3,yes ,3,30 minutes to 1 hour
ON,on,Ontario,strongly agree,definitely yes,no,,unimportant,no,no,,zee,unimportant,probably not,probably not,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,other,high school,third year,0,yes ,4,24 hours
BC,bc,British Columbia,strongly agree,probably not,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably not,probably not,yes ,no particular variety,often,,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,agree,strongly agree,probably yes,34,canada,male,other ,i am not currently studying,0,no,,12 hours
BC,bc,Ontario,somewhat disagree,definitely not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,strongly agree,strongly disagree,definitely yes,34,canada,male,other ,i am not currently studying,0,yes ,12,less than 30 minutes
BC,bc,British Columbia,somewhat agree,probably not,yes,moderately comfortable,important,that depends ,no,,both,neither unimportant nor important,probably not,probably not,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably not,24,canada,female,undergraduate degree,i am not currently studying,2,yes ,10,24 hours
