region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
ON,on,Ontario,strongly agree,probably yes,yes,extremely comfortable,extremely unimportant,no,no,,zed,neither unimportant nor important,probably yes,probably not,definitely not,yes ,other ,sometimes,no,no,definitely yes,probably yes,strongly agree,strongly disagree,strongly disagree,neither disagree nor agree,probably not,49,canada,male,undergraduate degree,i am not currently studying,3,yes ,15,30 minutes to 1 hour
MB,mb,Manitoba,strongly agree,definitely yes,no,,important,that depends ,yes,,zed,important,probably yes,,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,male,graduate degree,i am in a graduate program,0,yes ,11,12 hours
ON,on,Manitoba,strongly agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,both,neither unimportant nor important,definitely yes,definitely not,definitely not,yes ,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,agree,agree,agree,disagree,probably yes,24,canada,female,high school,fourth year+,0,no,,46 hours
US,us,United States,strongly agree,neutral,no,,unimportant,yes,no,,zee,important,definitely yes,definitely yes,,no,no particular variety,,yes,no,definitely yes,might or might not,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,69,united states,female,graduate degree,i am not currently studying,0,yes ,13,24 hours
US,us,United States,agree,,no,,,no,no,,zee,,,probably yes,,no,british english,,,no,probably yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,,,59,united states,female,postgraduate degree,i am not currently studying,0,yes ,12,12 hours
other,,other,somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,no,british english,often,yes,yes,definitely yes,probably yes,strongly agree,strongly disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,24,canada,male,high school,fourth year+,0,no,,24 hours
MB,mb,Manitoba,,probably not,no,,important,yes,not sure,,zed,very important,definitely yes,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,strongly disagree,disagree,strongly disagree,,49,canada,female,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
MB,mb,Manitoba,agree,probably yes,no,,important,,not sure,,zee,important,probably yes,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,24,canada,female,high school,i am not currently studying,0,no,,24 hours
other,,British Columbia,strongly agree,probably yes,yes,moderately uncomfortable,unimportant,that depends ,yes,,both,unimportant,might or might not,probably yes,probably not,,no particular variety,,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,disagree,probably yes,19,canada,female,high school,first year,0,yes ,6,46 hours
US,us,United States,strongly disagreee,probably yes,no,,,that depends ,no,,zee,,probably yes,probably yes,,no,no particular variety,sometimes,,no,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,,59,united states,female,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Manitoba,strongly agree,probably yes,no,,extremely important,yes,not sure,,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,might or might not,definitely yes,disagree,disagree,,disagree,definitely yes,49,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
MB,mb,Manitoba,strongly agree,probably yes,yes,extremely comfortable,important,yes,no,,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,agree,agree,probably yes,64,canada,female,undergraduate degree,i am not currently studying,0,yes ,11,12 hours
BC,bc,other,strongly agree,probably yes,yes,moderately comfortable,important,yes,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,definitely yes,probably yes,no,british english,sometimes,yes,yes,definitely yes,probably yes,agree,disagree,,agree,probably yes,39,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
MB,mb,Manitoba,agree,probably yes,no,,unimportant,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,often,,yes,definitely yes,probably not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,34,canada,male,high school,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,probably yes,yes,extremely comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,other ,often,yes,yes,probably yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,29,canada,male,high school,i am not currently studying,0,no,,30 minutes to 1 hour
NB,nb,New Brunswick,disagree,definitely not,no,,unimportant,yes,yes,yes but i cant describe it well,zee,unimportant,definitely not,probably not,definitely not,no,no particular variety,sometimes,no,no,probably yes,might or might not,strongly agree,neither disagree nor agree,disagree,strongly disagree,probably yes,34,canada,male,graduate degree,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,strongly agree,definitely not,no,,unimportant,yes,no,,zed,neither unimportant nor important,probably not,probably yes,definitely not,yes ,no particular variety,often,yes,neither yes or no,probably yes,probably yes,neither disagree nor agree,disagree,strongly agree,disagree,probably yes,44,canada,male,other ,i am not currently studying,0,no,,30 minutes to 1 hour
NL,nl,Newfoundland and Labrador,agree,probably not,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,definitely yes,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,24,canada,male,other ,fourth year+,0,yes ,15,24 hours
MB,mb,Manitoba,strongly agree,probably yes,yes,extremely comfortable,important,no,no,,both,important,probably yes,probably yes,probably not,,british english,often,yes,yes,definitely yes,might or might not,agree,agree,neither disagree nor agree,disagree,definitely yes,29,canada,male,high school,i am not currently studying,1,no,,30 minutes to 1 hour
ON,on,Ontario,agree,definitely not,no,,important,yes,yes,yes but i cant describe it well,zed,unimportant,definitely not,probably not,probably yes,yes ,british english,sometimes,no,no,probably yes,probably yes,strongly agree,strongly disagree,strongly disagree,agree,probably not,44,canada,other,graduate degree,i am not currently studying,0,no,,24 hours
ON,on,Newfoundland and Labrador,strongly agree,probably not,no,,important,no,yes,,zed,important,definitely yes,probably yes,probably not,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,54,canada,male,graduate degree,i am in a graduate program,0,no,,less than 30 minutes
MB,mb,Manitoba,strongly agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,29,canada,female,high school,i am not currently studying,0,no,,46 hours
other,,other,strongly agree,neutral,no,,important,yes,no,,zed,important,definitely yes,probably not,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,49,canada,female,graduate degree,i am not currently studying,0,yes ,4,12 hours
NS,ns,Nova Scotia,strongly agree,definitely yes,yes,extremely comfortable,unimportant,that depends ,not sure,,both,important,definitely yes,probably not,probably yes,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,strongly agree,strongly agree,agree,neither disagree nor agree,probably yes,24,canada,male,high school,fourth year+,1,yes ,2,30 minutes to 1 hour
US,us,Manitoba,strongly agree,probably yes,no,,important,no,no,,both,important,probably yes,definitely yes,probably not,yes ,british english,sometimes,no,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,44,canada,male,undergraduate degree,i am not currently studying,0,no,,i dont use social media
other,india,Manitoba,strongly agree,definitely yes,yes,moderately comfortable,extremely unimportant,no,yes,,zed,very important,definitely yes,definitely not,,yes ,british english,never,no,no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,34,canada,male,postgraduate degree,i am not currently studying,0,no,,24 hours
US,us,United States,agree,,yes,does not apply to me ,,yes,no,,zee,neither unimportant nor important,,probably yes,,no,american english,,yes,no,might or might not,might or might not,agree,,,,,19,united states,female,high school,second year,3,yes ,3,46 hours
ON,on,Alberta,strongly agree,probably yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,always,yes,definitely yes,probably yes,definitely yes,agree,disagree,strongly agree,agree,probably yes,49,canada,female,undergraduate degree,i am not currently studying,2,yes ,7,12 hours
ON,on,other,agree,neutral,yes,moderately comfortable,important,that depends ,not sure,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,39,canada,female,graduate degree,i am not currently studying,0,no,,i dont use social media
BC,bc,British Columbia,somewhat agree,probably not,no,,unimportant,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely yes,yes ,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,disagree,,,,49,canada,female,undergraduate degree,i am not currently studying,0,yes ,5,12 hours
MB,mb,Manitoba,strongly agree,definitely yes,no,,important,yes,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,disagree,agree,,strongly agree,definitely yes,39,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
MB,mb,Manitoba,strongly agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,59,canada,male,other ,i am not currently studying,0,no,,12 hours
MB,mb,Manitoba,strongly agree,probably yes,no,,,no,no,,both,neither unimportant nor important,,probably yes,definitely not,no,no particular variety,sometimes,no,yes,might or might not,probably yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,male,undergraduate degree,i am not currently studying,0,yes ,2,46 hours
MB,mb,Manitoba,strongly agree,neutral,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,34,canada,male,high school,i am not currently studying,1,no,,12 hours
MB,mb,Manitoba,strongly agree,probably yes,yes,extremely comfortable,important,no,no,,both,important,definitely yes,probably yes,probably not,no,british english,sometimes,yes,yes,probably yes,might or might not,agree,agree,neither disagree nor agree,agree,probably yes,29,canada,female,undergraduate degree,third year,4,no,,46 hours
BC,bc,British Columbia,agree,neutral,yes,moderately comfortable,,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably not,definitely not,yes ,canadian english,sometimes,,yes,definitely yes,probably yes,agree,neither disagree nor agree,disagree,disagree,probably yes,19,canada,male,high school,first year,4,no,,30 minutes to 1 hour
MB,mb,Manitoba,agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,,british english,rarely,yes,definitely yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,definitely yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
MB,mb,Manitoba,strongly agree,neutral,yes,moderately comfortable,unimportant,no,no,,zee,unimportant,probably not,probably not,probably not,no,no particular variety,often,yes,no,definitely yes,probably yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,29,canada,female,other ,i am not currently studying,0,no,,12 hours
BC,bc,Manitoba,strongly agree,definitely yes,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably yes,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,agree,definitely yes,39,canada,female,graduate degree,i am in a graduate program,4,yes ,5,12 hours
ON,on,Ontario,strongly disagreee,definitely yes,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably yes,definitely yes,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,agree,,neither disagree nor agree,probably yes,64,canada,female,postgraduate degree,i am not currently studying,0,no,,24 hours
BC,bc,Manitoba,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,not sure,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,yes ,no particular variety,often,yes,yes,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,1,no,,24 hours
AB,ab,Alberta,somewhat agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably not,probably not,yes ,no particular variety,rarely,yes,no,definitely yes,probably yes,disagree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,49,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
ON,on,Newfoundland and Labrador,strongly agree,definitely yes,no,,important,that depends ,not sure,,both,important,might or might not,probably yes,definitely not,,other ,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably not,24,canada,other,high school,third year,0,no,,24 hours
other,india,Manitoba,strongly agree,definitely not,yes,moderately uncomfortable,extremely unimportant,no,yes,,zed,neither unimportant nor important,definitely yes,,definitely not,no,british english,often,yes,definitely yes,definitely not,definitely not,strongly disagree,strongly disagree,strongly agree,strongly disagree,definitely yes,34,canada,male,postgraduate degree,,10,yes ,2,30 minutes to 1 hour
TR,yt,Alberta,strongly agree,neutral,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,strongly agree,disagree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably yes,yes ,british english,often,,yes,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,39,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
other,france,Alberta,strongly agree,probably yes,yes,moderately comfortable,,that depends ,no,,zed,important,probably yes,probably yes,probably not,,no particular variety,rarely,yes,definitely yes,probably yes,definitely yes,agree,agree,agree,agree,,49,canada,female,other ,i am not currently studying,2,yes ,2,12 hours
QC,qc,Alberta,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,yes ,british english,often,yes,yes,definitely yes,probably yes,agree,agree,agree,,probably yes,34,canada,male,postgraduate degree,fourth year+,2,no,,12 hours
ON,on,Alberta,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,always,yes,yes,definitely yes,definitely yes,strongly agree,agree,disagree,strongly agree,definitely yes,74,canada,male,postgraduate degree,i am not currently studying,0,yes ,11,30 minutes to 1 hour
other,,Alberta,agree,probably yes,no,,important,yes,not sure,,zed,very important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,69,canada,other,other ,i am not currently studying,0,no,,12 hours
MB,mb,Manitoba,somewhat agree,neutral,no,,unimportant,that depends ,not sure,,both,neither unimportant nor important,probably not,probably not,,,no particular variety,,,neither yes or no,definitely yes,might or might not,neither disagree nor agree,disagree,neither disagree nor agree,disagree,probably yes,49,canada,female,high school,i am not currently studying,0,no,,12 hours
ON,on,Alberta,strongly agree,probably not,yes,neither comfortable nor uncomfortable,important,no,no,,zed,neither unimportant nor important,probably not,probably yes,definitely not,yes ,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,probably yes,49,canada,male,other ,i am not currently studying,0,no,,less than 30 minutes
MB,mb,Manitoba,agree,probably yes,no,,extremely important,,yes,yes but i cant describe it well,zed,very important,definitely yes,probably not,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,29,canada,male,undergraduate degree,i am not currently studying,0,no,,i dont use social media
AB,ab,Alberta,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,no,,both,important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,probably yes,39,canada,male,high school,i am not currently studying,0,no,,12 hours
MB,mb,Manitoba,strongly agree,probably not,no,,extremely important,yes,no,,both,important,definitely yes,probably not,definitely not,,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,disagree,probably yes,29,canada,other,high school,i am not currently studying,0,no,,12 hours
AB,ab,Manitoba,strongly agree,probably not,yes,moderately comfortable,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,3,yes ,7,46 hours
ON,on,Alberta,strongly agree,neutral,no,,important,yes,not sure,,zed,important,probably yes,probably yes,probably not,,no particular variety,sometimes,yes,yes,definitely yes,might or might not,neither disagree nor agree,,agree,neither disagree nor agree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
MB,mb,Manitoba,strongly agree,neutral,no,,extremely important,that depends ,no,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,44,canada,female,high school,i am not currently studying,0,yes ,2,12 hours
SK,sk,Manitoba,strongly agree,neutral,no,,,yes,no,,zee,neither unimportant nor important,might or might not,probably yes,probably not,,no particular variety,sometimes,,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,male,high school,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,neutral,yes,extremely comfortable,unimportant,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,,yes ,british english,rarely,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,disagree,neither disagree nor agree,probably yes,74,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,Alberta,strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,always,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,44,canada,female,postgraduate degree,i am not currently studying,1,yes ,7,i dont use social media
MB,mb,Manitoba,agree,definitely yes,no,,important,yes,not sure,,zee,neither unimportant nor important,probably yes,probably yes,,no,no particular variety,,yes,neither yes or no,definitely yes,definitely yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,24,canada,male,postgraduate degree,i am not currently studying,0,yes ,0,i dont use social media
AB,ab,Alberta,agree,neutral,no,,extremely important,yes,not sure,yes but i cant describe it well,not sure,very important,definitely yes,probably yes,,,british english,often,yes,yes,definitely yes,probably yes,strongly agree,agree,agree,neither disagree nor agree,definitely yes,19,canada,male,high school,first year,0,yes ,5,24 hours
AB,ab,Alberta,strongly agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,no,,zee,important,probably yes,,,yes ,canadian english,often,no,yes,definitely yes,definitely yes,strongly disagree,disagree,neither disagree nor agree,agree,probably yes,39,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
other,,other,strongly disagreee,definitely yes,yes,extremely comfortable,extremely important,that depends ,not sure,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,yes ,no particular variety,often,yes,yes,probably yes,probably yes,strongly agree,strongly agree,agree,agree,probably not,74,canada,other,,,0,,,
NL,nl,Alberta,agree,probably yes,no,,,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,definitely yes,definitely not,,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,agree,neither disagree nor agree,definitely yes,39,canada,male,undergraduate degree,i am not currently studying,0,yes ,8,30 minutes to 1 hour
AB,ab,Alberta,somewhat agree,probably not,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,,probably not,probably not,,british english,often,,definitely yes,definitely yes,,neither disagree nor agree,neither disagree nor agree,agree,strongly disagree,probably yes,29,canada,female,other ,i am not currently studying,0,no,,12 hours
NS,ns,other,strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably not,probably yes,probably yes,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,disagree,,disagree,probably not,54,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
MB,mb,Manitoba,agree,neutral,no,,important,yes,no,,zed,very important,probably yes,definitely yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,54,canada,male,high school,i am not currently studying,0,yes ,11,24 hours
AB,ab,Alberta,somewhat agree,probably yes,no,,extremely important,,no,,zed,important,definitely yes,,probably not,,no particular variety,sometimes,,yes,probably yes,probably yes,,,agree,,probably yes,44,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,agree,probably yes,49,canada,female,graduate degree,i am not currently studying,0,yes ,1,12 hours
AB,ab,Alberta,strongly agree,probably yes,no,,unimportant,no,yes,yes i do know it is ,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,canadian english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,male,undergraduate degree,i am not currently studying,3,no,,30 minutes to 1 hour
AB,ab,Alberta,agree,probably not,no,,unimportant,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,,probably not,definitely not,no,british english,rarely,,no,,definitely yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,probably not,39,canada,male,graduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,extremely important,no,no,,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,39,canada,other,high school,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,agree,,34,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
AB,ab,Alberta,strongly agree,neutral,no,,extremely important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,might or might not,might or might not,neither disagree nor agree,neither disagree nor agree,agree,disagree,,44,canada,female,graduate degree,i am not currently studying,0,yes ,7,i dont use social media
AB,ab,Alberta,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,agree,disagree,probably yes,34,canada,female,postgraduate degree,i am not currently studying,1,no,,12 hours
AB,ab,Alberta,strongly agree,probably not,yes,moderately uncomfortable,important,,no,,both,important,probably yes,probably yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,,44,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
ON,on,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably not,definitely not,yes ,no particular variety,always,yes,yes,definitely yes,definitely yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,44,canada,female,graduate degree,i am not currently studying,1,yes ,3,12 hours
BC,bc,Manitoba,agree,definitely yes,no,,extremely important,,yes,yes but i cant describe it well,zed,very important,probably yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,64,canada,female,high school,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably yes,no,,extremely important,no,yes,yes but i cant describe it well,zee,very important,definitely yes,probably yes,definitely not,,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly agree,strongly agree,definitely yes,24,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Alberta,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,no,no particular variety,often,yes,,definitely yes,might or might not,agree,strongly agree,strongly agree,strongly agree,definitely yes,39,canada,male,undergraduate degree,i am not currently studying,3,no,,less than 30 minutes
AB,ab,Alberta,disagree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,both,important,definitely yes,definitely yes,definitely not,no,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,59,canada,female,undergraduate degree,i am not currently studying,0,yes ,1,i dont use social media
ON,on,Alberta,somewhat agree,probably not,no,,important,no,yes,,both,important,probably yes,probably yes,definitely not,no,british english,rarely,yes,no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably not,34,canada,male,postgraduate degree,i am not currently studying,0,no,,12 hours
MB,mb,Manitoba,strongly agree,probably yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,probably yes,29,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,agree,definitely not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,british english,often,,definitely yes,probably yes,definitely yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,39,canada,female,other ,i am not currently studying,0,yes ,6,12 hours
AB,ab,Alberta,strongly agree,probably not,yes,moderately comfortable,extremely important,yes,no,,zed,important,might or might not,probably yes,probably not,yes ,british english,often,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,definitely yes,34,canada,female,graduate degree,i am not currently studying,0,no,,24 hours
MB,mb,Manitoba,strongly agree,probably not,no,,important,that depends ,not sure,,both,important,probably yes,probably not,,no,british english,rarely,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,disagree,strongly agree,agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
MB,mb,Manitoba,strongly agree,probably yes,yes,extremely comfortable,important,yes,no,,both,neither unimportant nor important,might or might not,probably not,definitely not,,british english,sometimes,yes,yes,probably yes,definitely yes,strongly agree,neither disagree nor agree,agree,agree,probably yes,29,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
